2018.11.21-20:24:12
iter:0   loss_train: 0.17266539   loss_test: 0.1860103
iter:10   loss_train: 0.09677098   loss_test: 0.12850477
iter:20   loss_train: 0.08419742   loss_test: 0.12385343
iter:30   loss_train: 0.08178055   loss_test: 0.12506326
iter:40   loss_train: 0.0802145   loss_test: 0.12519886
iter:50   loss_train: 0.07812136   loss_test: 0.12420543
iter:60   loss_train: 0.07808144   loss_test: 0.12432341
iter:70   loss_train: 0.07626974   loss_test: 0.122997634
iter:80   loss_train: 0.07562307   loss_test: 0.12244175
iter:90   loss_train: 0.075025156   loss_test: 0.12187128
iter:100   loss_train: 0.07473569   loss_test: 0.12157373
iter:110   loss_train: 0.074184075   loss_test: 0.121028215
iter:120   loss_train: 0.07397521   loss_test: 0.12082545
iter:130   loss_train: 0.072861984   loss_test: 0.11980181
iter:140   loss_train: 0.072268724   loss_test: 0.11934988
iter:150   loss_train: 0.0716756   loss_test: 0.11911314
iter:160   loss_train: 0.07090523   loss_test: 0.11885459
iter:170   loss_train: 0.07003149   loss_test: 0.11869744
iter:180   loss_train: 0.06953904   loss_test: 0.118512265
iter:190   loss_train: 0.068259455   loss_test: 0.11867043
iter:200   loss_train: 0.067415714   loss_test: 0.11889545
iter:210   loss_train: 0.066625625   loss_test: 0.11909127
iter:220   loss_train: 0.06588998   loss_test: 0.11929512
iter:230   loss_train: 0.06521612   loss_test: 0.11953015
iter:240   loss_train: 0.06460759   loss_test: 0.11979965
iter:250   loss_train: 0.06406189   loss_test: 0.12009302
iter:260   loss_train: 0.063573256   loss_test: 0.12039524
iter:270   loss_train: 0.06313535   loss_test: 0.12069414
iter:280   loss_train: 0.0627415   loss_test: 0.12098236
iter:290   loss_train: 0.062384233   loss_test: 0.12125646
iter:300   loss_train: 0.062055502   loss_test: 0.12151571
iter:310   loss_train: 0.06174777   loss_test: 0.121761456
iter:320   loss_train: 0.061454907   loss_test: 0.12199689
iter:330   loss_train: 0.061172377   loss_test: 0.122226365
iter:340   loss_train: 0.060896806   loss_test: 0.122454666
iter:350   loss_train: 0.060625657   loss_test: 0.12268628
iter:360   loss_train: 0.060357   loss_test: 0.1229252
iter:370   loss_train: 0.060089406   loss_test: 0.12317444
iter:380   loss_train: 0.05982189   loss_test: 0.1234358
iter:390   loss_train: 0.059554055   loss_test: 0.123710014
iter:400   loss_train: 0.05928598   loss_test: 0.12399643
2018.11.21-20:32:25
